등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
A,85000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A9 (2018),128GB
D,227000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 13 미니,128GB
C,71000.0,개봉,없음,전면,없음,없음,없음,갤럭시 S10E,128GB
D,389000.0,개봉,없음,"전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
E,123000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,없음,검수중,갤럭시S21 울트라,256GB
A,135000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A90,128GB
B,679000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13 프로맥스,256GB
C,192000.0,개봉,전면,후면,없음,없음,없음,갤럭시 노트 10 플러스,512GB
E,20000.0,개봉,테두리,"전면, 테두리",LCD 파손,터치,검수중,갤럭시 노트 10,256GB
D,145000.0,개봉,없음,전면,없음,없음,없음,아이폰 XR,128GB
D,65000.0,개봉,전면,전면,없음,없음,생체인식,아이폰 SE3 (2022),128GB
A,317000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
C,71000.0,개봉,테두리,전면,없음,없음,없음,갤럭시 S10E,128GB
C,88000.0,개봉,없음,테두리,없음,없음,없음,아이폰 8,256GB
F,20000.0,개봉,없음,없음,없음,없음,"생체인식, 전원, 충전, 배터리성능저하",아이폰 11 프로,256GB
E,1000.0,개봉,없음,없음,LCD 파손,없음,검수중,아이패드 에어 4세대 Wifi,64GB
D,349000.0,개봉,"전면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 프로,256GB
D,252000.0,개봉,"전면, 후면, 테두리",후면,없음,없음,없음,아이폰 11 프로 맥스,64GB
D,182000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 12 미니,128GB
D,267000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 미니,128GB
A,344000.0,개봉,없음,없음,없음,없음,없음,아이폰 12,128GB
C,83000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 노트 8,256GB
A,557000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,256GB
D,182000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 미니,128GB
A,118000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A23,128GB
D,257000.0,개봉,없음,후면,없음,없음,배터리성능저하,아이폰 11 프로,256GB
C,415000.0,개봉,없음,후면,없음,없음,없음,아이폰 13 프로,128GB
D,225000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 11 프로,256GB
D,182000.0,개봉,"전면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 미니,128GB
C,412000.0,개봉,없음,테두리,없음,없음,없음,아이폰 14,128GB
D,192000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12,64GB
D,312000.0,개봉,"전면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 프로,128GB
A,452000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로 맥스,512GB
B,165000.0,개봉,테두리,없음,없음,없음,없음,아이폰 X,64GB
B,324000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 S22,256GB
D,25000.0,개봉,테두리,"전면, 후면",없음,없음,생체인식,아이폰 8,64GB
A,634000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S22 울트라,256GB
D,152000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 11,128GB
B,317000.0,개봉,테두리,없음,없음,없음,없음,아이폰 11 프로,256GB
B,510000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13,256GB
C,142000.0,개봉,없음,테두리,없음,없음,없음,아이폰 SE3 (2022),128GB
E,40000.0,개봉,"전면, 후면","전면, 후면",없음,없음,"카메라, 생체인식, 배터리성능저하",아이폰 X,64GB
A,45000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A10,32GB
E,110000.0,개봉,"전면, 테두리","전면, 후면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11,64GB
E,25000.0,개봉,테두리,"전면, 테두리",LCD 파손,없음,검수중,갤럭시 S10,128GB
C,267000.0,개봉,없음,테두리,없음,없음,없음,아이폰 11 프로,256GB
A,105000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S9,64GB
A,344000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립4,256GB
D,322000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,128GB
D,322000.0,개봉,"전면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 프로,128GB
F,1000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"카메라, 생체인식, 전원, 충전, 터치, 진동, 스피커, 마이크",검수중,갤럭시 S7,32GB
B,62000.0,개봉,후면,없음,없음,없음,없음,아이폰 7,128GB
D,322000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 12 프로,128GB
C,182000.0,개봉,"전면, 테두리",없음,없음,없음,없음,아이폰 12 미니,128GB
E,17000.0,개봉,"후면, 테두리",전면,LCD 파손,"터치, 카메라, 생체인식",검수중,갤럭시 Z플립3,256GB
C,277000.0,개봉,없음,테두리,없음,없음,없음,아이폰 13 미니,128GB
A,630000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로,256GB
C,63000.0,개봉,없음,전면,없음,없음,없음,갤럭시 S8,64GB
A,354000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립4,512GB
D,197000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 11,128GB
C,267000.0,개봉,전면,테두리,없음,없음,없음,아이폰 11 프로,256GB
E,3000.0,개봉,"전면, 후면, 테두리",전면,없음,잔상있음,없음,갤럭시 S7 엣지,32GB
D,267000.0,개봉,"전면, 테두리",후면,없음,없음,배터리성능저하,아이폰 11 프로,256GB
A,570000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,256GB
D,197000.0,개봉,"전면, 테두리",전면,없음,없음,배터리성능저하,아이폰 11 프로,64GB
S,760000.0,미개봉,없음,없음,없음,없음,없음,아이폰 13 프로,256GB
A,334000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S20 울트라,256GB
F,12000.0,개봉,없음,없음,없음,없음,"전원, 충전",아이패드 9세대 Wifi,64GB
A,1016000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로맥스,256GB
E,5000.0,개봉,전면,전면,LCD 파손,없음,검수중,갤럭시 Z플립,256GB
D,95000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 SE2 (2020),128GB
S,540000.0,미개봉,없음,없음,없음,없음,없음,아이패드 프로 11 4세대 Wifi,128GB
B,440000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13,128GB
D,354000.0,개봉,"전면, 후면","전면, 후면",없음,없음,없음,아이폰 11 프로 맥스,512GB
D,490000.0,개봉,전면,전면,없음,없음,없음,아이폰 13 프로,256GB
A,946000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로맥스,128GB
A,650000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로맥스,128GB
C,197000.0,개봉,전면,없음,없음,없음,없음,아이패드 프로 12.9 4세대 Wifi,512GB
A,207000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S10 5G,256GB
D,125000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 XR,64GB
C,410000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,갤럭시 S23,256GB
E,140000.0,개봉,테두리,없음,없음,없음,"배터리성능저하, 스피커, 마이크, 진동",아이폰 XR,128GB
D,147000.0,개봉,없음,"후면, 테두리",없음,없음,배터리성능저하,아이폰 12 미니,64GB
E,82000.0,개봉,"후면, 테두리",후면,없음,없음,터치,갤럭시 Z폴드3,256GB
D,550000.0,개봉,테두리,없음,없음,없음,"배터리성능저하, 카메라",아이폰 13 프로맥스,1024GB
D,497000.0,개봉,전면,후면,없음,없음,배터리성능저하,아이폰 13 프로,256GB
C,364000.0,개봉,없음,테두리,없음,없음,없음,갤럭시Z플립5,256GB
A,307000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE3 (2022),256GB
D,125000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 8 플러스,64GB
D,227000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 11 프로,64GB
E,147000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,"터치, 배터리성능저하",아이폰 11 프로,256GB
D,192000.0,개봉,없음,"후면, 테두리",없음,없음,배터리성능저하,아이폰 12 미니,128GB
E,137000.0,개봉,전면,"후면, 테두리",없음,잔상있음,없음,갤럭시 노트 10 플러스,256GB
A,495000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
B,475000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 프로,512GB
E,103000.0,개봉,전면,"전면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11,64GB
E,25000.0,개봉,"전면, 테두리",전면,LCD 파손,없음,검수중,갤럭시 S10,128GB
B,202000.0,개봉,"후면, 테두리",없음,없음,없음,없음,갤럭시 노트 10 플러스,256GB
D,610000.0,개봉,"전면, 후면","전면, 후면",없음,없음,없음,아이폰 14 프로,128GB
D,162000.0,개봉,"전면, 테두리",후면,없음,없음,배터리성능저하,아이폰 13,128GB
C,125000.0,개봉,없음,테두리,없음,없음,없음,아이폰 8 플러스,64GB
C,359000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12 프로,256GB
D,217000.0,개봉,"후면, 테두리",후면,없음,없음,배터리성능저하,아이폰 11 프로,64GB
E,425000.0,개봉,테두리,전면,없음,잔상있음,없음,아이폰 14 프로,128GB
D,88000.0,개봉,"전면, 후면","전면, 테두리",없음,없음,없음,아이폰 SE2 (2020),128GB
A,212000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 미니,64GB
A,410000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,128GB
D,248000.0,개봉,후면,후면,없음,없음,"생체인식, 배터리성능저하",아이폰 12 프로,128GB
D,192000.0,개봉,"전면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 12,64GB
D,2000.0,개봉,"후면, 테두리",없음,없음,없음,계정잠김,아이폰 6,16GB
E,90000.0,개봉,테두리,후면,LCD 파손,없음,검수중,아이폰 XS,256GB
D,207000.0,개봉,테두리,전면,없음,없음,배터리성능저하,아이폰 11 프로,64GB
E,62000.0,개봉,테두리,전면,LCD 파손,배터리성능저하,검수중,아이폰 12 미니,128GB
D,359000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 11 프로 맥스,256GB
C,442000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 12 프로 맥스,256GB
A,339000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,없음,아이폰 13 미니,128GB
A,339000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 미니,128GB
B,182000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 노트20,256GB
D,20000.0,개봉,테두리,전면,없음,없음,없음,아이폰 SE,64GB
C,162000.0,개봉,없음,후면,없음,없음,없음,아이폰 XS,256GB
D,207000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음,아이폰 11 프로,64GB
D,182000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 12,64GB
E,82000.0,개봉,테두리,테두리,LCD 파손,"카메라, 배터리성능저하",검수중,아이폰 13 프로,128GB
A,172000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
A,105000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S8 플러스,128GB
A,755000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z폴드4,256GB
E,22000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,없음,검수중,아이폰 7,32GB
E,1000.0,개봉,전면,전면,LCD 파손,"생체인식, 카메라",검수중,아이폰 14 프로,128GB
A,317000.0,개봉,없음,없음,없음,없음,없음,아이폰 XS Max,64GB
E,1000.0,개봉,"전면, 후면","전면, 후면",LCD 파손,"생체인식, 카메라, 터치",검수중,아이폰 14 프로,128GB
C,415000.0,개봉,"전면, 후면",후면,없음,없음,없음,아이폰 13 프로,128GB
A,460000.0,개봉,없음,없음,없음,없음,없음,아이폰 13,128GB
D,520000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 13 프로,256GB
E,92000.0,개봉,테두리,없음,LCD 파손,"생체인식, 배터리성능저하",검수중,아이폰 11 프로,256GB
C,277000.0,개봉,전면,없음,없음,없음,없음,아이폰 11 프로,256GB
D,82000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 SE2 (2020),64GB
C,100000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,없음,아이폰 SE2 (2020),64GB
D,384000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 13,128GB
D,312000.0,개봉,"전면, 후면","전면, 후면",없음,없음,배터리성능저하,아이폰 12 프로,256GB
D,322000.0,개봉,전면,테두리,없음,없음,배터리성능저하,아이폰 12 프로,128GB
B,227000.0,개봉,테두리,없음,없음,없음,없음,갤럭시S21 플러스,256GB
A,1016000.0,개봉,전면,테두리,없음,없음,배터리성능저하,아이폰 14 프로맥스,256GB
B,105000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S20FE,128GB
E,182000.0,개봉,테두리,없음,없음,없음,없음,아이폰 11 프로,256GB
E,182000.0,개봉,테두리,없음,LCD 파손,없음,검수중,아이폰 11 프로,256GB
D,22000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 6S,32GB
E,172000.0,개봉,테두리,"전면, 후면",LCD 파손,배터리성능저하,검수중,아이폰 13 프로,256GB
C,172000.0,개봉,없음,"후면, 테두리",없음,없음,없음,갤럭시S21,256GB
C,207000.0,개봉,없음,테두리,없음,없음,없음,아이폰 11,128GB
A,585000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S23,256GB
D,120000.0,개봉,없음,없음,없음,없음,펜분실,갤럭시 노트 10,256GB
D,322000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12 프로,128GB
D,62000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,없음,아이폰 8,64GB
C,65000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,카메라,갤럭시 A90,128GB
A,262000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 미니,128GB
D,177000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 12 미니,128GB
F,2000.0,개봉,"후면, 테두리","전면, 테두리",없음,없음,"계정잠김, 전원, 충전",아이폰 6,32GB
C,322000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 12 프로,128GB
C,242000.0,개봉,테두리,후면,없음,없음,없음,아이폰 12,256GB
C,110000.0,개봉,전면,전면,없음,없음,없음,갤럭시 노트 9,128GB
E,1000.0,개봉,전면,전면,LCD 파손,생체인식,검수중,아이패드 미니 6세대 Wifi,64GB
C,72000.0,개봉,"후면, 테두리",테두리,없음,없음,없음,아이폰 8,64GB
B,155000.0,개봉,테두리,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
C,147000.0,개봉,테두리,후면,없음,없음,없음,아이폰 XS,256GB
D,192000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 12 미니,128GB
D,9000.0,개봉,없음,없음,없음,없음,"배터리성능저하, 계정잠김",아이패드 미니 3세대 Wifi,32GB
D,242000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 12,128GB
E,1000.0,개봉,"전면, 테두리",테두리,LCD 파손,"카메라, 와이파이, 배터리성능저하",검수중,아이폰 12,128GB
C,550000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 13 프로맥스,128GB
D,345000.0,개봉,후면,후면,없음,없음,배터리성능저하,아이폰 12 프로 맥스,256GB
D,364000.0,개봉,"전면, 후면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 13,128GB
D,35000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이패드 7세대 Wifi,32GB
F,2000.0,개봉,없음,"전면, 테두리",LCD 파손,"전원, 생체인식, 계정잠김, 터치",검수중,아이폰 6,16GB
E,7000.0,개봉,없음,"전면, 테두리",LCD 파손,없음,검수중,아이폰 SE,16GB
D,108000.0,개봉,전면,없음,없음,없음,배터리성능저하,아이폰 X,64GB
A,645000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S22 울트라,256GB
E,125000.0,개봉,전면,전면,LCD 파손,배터리성능저하,검수중,아이폰 11 프로,64GB
D,77000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,생체인식,아이폰 12 미니,64GB
E,247000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 12 프로 맥스,256GB
C,242000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,없음,아이폰 12,128GB
D,192000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 12,64GB
S,811000.0,미개봉,없음,없음,없음,없음,없음,갤럭시Z플립5,256GB
D,227000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 11 프로,64GB
C,192000.0,개봉,테두리,"후면, 테두리",없음,없음,없음,아이폰 12 미니,128GB
D,207000.0,개봉,전면,없음,없음,없음,배터리성능저하,아이폰 11,128GB
D,510000.0,개봉,전면,후면,없음,없음,배터리성능저하,아이폰 13 프로,256GB
E,35000.0,개봉,전면,전면,LCD 파손,없음,검수중,갤럭시 A31,64GB
E,82000.0,개봉,"후면, 테두리",없음,LCD 파손,"터치, 배터리성능저하",검수중,아이폰 12 미니,128GB
E,14000.0,개봉,"전면, 후면, 테두리",테두리,LCD 파손,없음,검수중,갤럭시 Z플립3,256GB
A,95000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S8,64GB
C,242000.0,개봉,없음,"후면, 테두리",없음,없음,없음,아이폰 12,128GB
D,339000.0,개봉,전면,"전면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,256GB
C,127000.0,개봉,없음,"후면, 테두리",없음,없음,없음,갤럭시 S20,128GB
E,43000.0,개봉,전면,"전면, 테두리",없음,없음,배터리성능저하,갤럭시 S8 플러스,128GB
C,156000.0,개봉,테두리,"전면, 테두리",없음,없음,없음,갤럭시S21,256GB
C,425000.0,개봉,"후면, 테두리",전면,없음,잔상있음,없음,아이폰 14,128GB
C,12000.0,개봉,테두리,테두리,없음,없음,없음,갤럭시 J7 (2017),32GB
E,67000.0,개봉,전면,테두리,없음,없음,없음,아이폰 X,256GB
C,12000.0,개봉,전면,전면,없음,없음,없음,갤럭시 J7 (2017),32GB
E,67000.0,개봉,없음,없음,LCD 파손,배터리성능저하,검수중,아이폰 X,256GB
B,425000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 프로,128GB
A,152000.0,개봉,테두리,없음,없음,없음,없음,아이폰 SE2 (2020),64GB
D,22000.0,개봉,없음,없음,없음,없음,없음,아이폰 7,128GB
E,187000.0,개봉,전면,테두리,없음,없음,생체인식,아이폰 13 프로,512GB
C,103000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"배터리성능저하, 터치",검수중,갤럭시 노트 9,128GB
A,27000.0,개봉,"전면, 후면",전면,없음,없음,없음,갤럭시 J5 (2017),32GB
E,47000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립4,256GB
F,2000.0,개봉,테두리,없음,LCD 파손,없음,검수중,아이폰 6,16GB
F,2000.0,개봉,없음,없음,LCD 파손,"전원, 충전",검수중,아이폰 6,16GB
B,92000.0,개봉,전면,없음,없음,없음,없음,갤럭시 노트 8,64GB
A,816000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,128GB
E,12000.0,개봉,없음,없음,LCD 파손,없음,검수중,아이폰 6S,32GB
D,345000.0,개봉,"후면, 테두리",후면,없음,없음,카메라,아이폰 13 프로,128GB
A,520000.0,개봉,없음,없음,없음,없음,없음,갤럭시 Z폴드3,256GB
A,1156000.0,개봉,없음,없음,없음,없음,없음,아이폰 15 프로,256GB
E,162000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11 프로,256GB
C,670000.0,개봉,없음,테두리,없음,없음,없음,아이폰 14 프로,128GB
E,90000.0,개봉,"전면, 후면, 테두리",전면,LCD 파손,없음,검수중,갤럭시 노트20 울트라,512GB
D,384000.0,개봉,없음,없음,없음,없음,"카메라, 배터리성능저하",아이폰 13 프로,128GB
B,575000.0,개봉,전면,없음,없음,없음,없음,갤럭시 S22 울트라,512GB
A,1056000.0,개봉,없음,없음,없음,없음,없음,아이폰 15 프로,128GB
A,482000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
E,272000.0,개봉,전면,없음,없음,없음,"배터리성능저하, 스피커, 마이크, 진동",아이폰 12 프로,128GB
D,359000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 12 프로,256GB
C,142000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,카메라,갤럭시S21 플러스,256GB
A,735000.0,개봉,없음,없음,없음,없음,없음,아이폰 15,256GB
A,237000.0,개봉,없음,없음,없음,없음,없음,아이패드 미니 6세대 Wifi,64GB
A,595000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립5,256GB
A,400000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트20 울트라,256GB
D,95000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,없음,아이폰 SE2 (2020),128GB
C,182000.0,개봉,"전면, 후면",테두리,없음,없음,없음,아이폰 XR,256GB
C,460000.0,개봉,없음,테두리,없음,없음,없음,아이폰 13 프로,128GB
D,384000.0,개봉,없음,테두리,없음,없음,"카메라, 배터리성능저하",아이폰 13 프로,128GB
A,237000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트20,256GB
A,530000.0,개봉,없음,없음,없음,없음,없음,아이폰 13,256GB
C,192000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 12 미니,128GB
D,130000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12 미니,64GB
D,187000.0,개봉,"전면, 테두리",전면,없음,없음,"배터리성능저하, 생체인식",아이폰 11 프로,256GB
D,130000.0,개봉,"전면, 후면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 12 미니,64GB
A,615000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립5,512GB
C,182000.0,개봉,"전면, 후면",없음,없음,없음,없음,아이폰 SE3 (2022),256GB
C,806000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 14 프로맥스,128GB
B,545000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13 프로,128GB
D,425000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 14,128GB
