등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
C,192000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12 미니,128GB
F,2000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"전원, 터치, 생체인식",검수중,갤럭시S21 플러스,256GB
A,187000.0,개봉,없음,없음,없음,없음,없음,아이폰 X,64GB
D,135000.0,개봉,테두리,전면,없음,없음,배터리성능저하,아이폰 XS,256GB
D,394000.0,개봉,전면,없음,없음,없음,배터리성능저하,아이폰 13,128GB
C,147000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 12 미니,64GB
A,354000.0,개봉,없음,없음,없음,없음,없음,아이폰 12,128GB
C,242000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12,128GB
E,57000.0,개봉,"전면, 후면, 테두리","전면, 후면",LCD 파손,없음,검수중,아이폰 12,64GB
D,450000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 13 프로,128GB
E,84000.0,개봉,"후면, 테두리",테두리,없음,잔상있음,없음,갤럭시 A33,128GB
E,419000.0,개봉,없음,없음,LCD 파손,없음,검수중,아이폰 14 프로맥스,128GB
D,2000.0,개봉,후면,테두리,없음,없음,계정잠김,아이폰 6,16GB
C,102000.0,개봉,없음,전면,없음,없음,없음,갤럭시 S9 플러스,64GB
A,765000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z폴드4,512GB
A,287000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE3 (2022),128GB
E,130000.0,개봉,전면,테두리,LCD 파손,배터리성능저하,검수중,아이폰 12,256GB
A,267000.0,개봉,없음,없음,없음,없음,없음,갤럭시 Z플립3,256GB
E,27000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 7 플러스,128GB
D,354000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 13,128GB
C,202000.0,개봉,전면,"후면, 테두리",없음,없음,없음,아이폰 12 미니,256GB
D,105000.0,개봉,전면,후면,없음,없음,생체인식,아이폰 XS,64GB
A,710000.0,개봉,전면,후면,없음,없음,생체인식,아이폰 13 프로맥스,256GB
B,137000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트 10,256GB
C,182000.0,개봉,전면,없음,없음,없음,없음,갤럭시 노트 10 플러스,256GB
D,105000.0,개봉,전면,테두리,없음,없음,없음,아이폰 XS,64GB
E,123000.0,개봉,"전면, 테두리",후면,없음,없음,"생체인식, 배터리성능저하",아이폰 11,128GB
E,123000.0,개봉,"전면, 후면","전면, 후면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11,128GB
D,359000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 12 프로,256GB
E,47000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 X,256GB
A,387000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트20 울트라,512GB
E,314000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,없음,검수중,갤럭시 S23 울트라,256GB
D,105000.0,개봉,"후면, 테두리",전면,없음,없음,없음,아이폰 SE2 (2020),256GB
C,334000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 13 미니,256GB
D,115000.0,개봉,테두리,전면,없음,없음,없음,아이폰 X,256GB
D,82000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 SE2 (2020),64GB
D,108000.0,개봉,후면,전면,없음,없음,없음,아이폰 X,256GB
D,166000.0,개봉,전면,없음,없음,없음,배터리성능저하,아이폰 11,64GB
D,344000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 13,128GB
A,480000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S22 플러스,256GB
E,1000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 미니,64GB
D,192000.0,개봉,"후면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12,64GB
C,595000.0,개봉,"전면, 후면, 테두리",후면,없음,없음,없음,아이폰 13 프로맥스,256GB
C,172000.0,개봉,없음,전면,없음,없음,없음,갤럭시S21,256GB
D,322000.0,개봉,없음,후면,없음,없음,배터리성능저하,아이폰 12 프로,128GB
A,267000.0,개봉,없음,후면,없음,없음,배터리성능저하,갤럭시 Z플립3,256GB
A,217000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE3 (2022),64GB
A,399000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 미니,256GB
A,552000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로,128GB
B,490000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,128GB
A,650000.0,개봉,"후면, 테두리",없음,없음,없음,없음,아이폰 14,256GB
A,17000.0,개봉,없음,없음,없음,없음,없음,아이폰 5S,16GB
A,655000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S22 울트라,512GB
D,23000.0,개봉,"전면, 후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 6S,32GB
B,786000.0,개봉,테두리,없음,없음,없음,없음,아이폰 14 프로,128GB
C,172000.0,개봉,"전면, 테두리",테두리,없음,없음,없음,갤럭시S21,256GB
B,242000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 미니,128GB
C,242000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 12,128GB
E,77000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 XR,64GB
A,445000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,128GB
D,197000.0,개봉,"전면, 후면, 테두리",후면,없음,없음,배터리성능저하,아이폰 11,128GB
A,916000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,512GB
D,242000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 12,128GB
A,432000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,128GB
E,62000.0,개봉,전면,전면,LCD 파손,터치,검수중,아이폰 12 미니,128GB
A,47000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A7 (2017),32GB
A,152000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트 9,128GB
E,1000.0,개봉,테두리,테두리,없음,잔상있음,없음,아이폰 13 미니,128GB
C,192000.0,개봉,테두리,후면,없음,없음,없음,아이폰 12 미니,128GB
E,17000.0,개봉,"전면, 후면",전면,LCD 파손,없음,검수중,갤럭시 노트 9,128GB
D,162000.0,개봉,"전면, 후면, 테두리",후면,없음,없음,배터리성능저하,아이폰 XS,256GB
C,162000.0,개봉,"전면, 테두리",없음,없음,없음,없음,아이폰 XR,64GB
C,86000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"스피커, 마이크",갤럭시 A32,64GB
C,128000.0,개봉,후면,후면,없음,없음,없음,아이폰 XR,64GB
C,85000.0,개봉,없음,"후면, 테두리",없음,없음,없음,갤럭시 S9,64GB
C,279000.0,개봉,없음,없음,없음,없음,"스피커, 마이크",갤럭시 Z폴드3,256GB
D,207000.0,개봉,없음,없음,없음,없음,"스피커, 마이크",아이폰 11 프로,64GB
D,207000.0,개봉,전면,전면,없음,없음,배터리성능저하,아이폰 11 프로,64GB
B,217000.0,개봉,테두리,없음,없음,없음,없음,아이폰 XS,256GB
D,135000.0,개봉,테두리,없음,없음,없음,생체인식,아이폰 XR,128GB
C,182000.0,개봉,테두리,후면,없음,없음,없음,아이폰 12 미니,128GB
D,339000.0,개봉,없음,전면,없음,없음,없음,아이폰 12 프로,256GB
C,740000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 14 프로,256GB
C,59000.0,개봉,없음,후면,없음,없음,없음,갤럭시 A42 5G,128GB
B,162000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 S10 5G,256GB
E,2000.0,개봉,"전면, 후면, 테두리",없음,LCD 파손,없음,검수중,아이패드 에어 2세대 Wifi,64GB
D,45000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이패드 미니 5세대 Wifi,64GB
A,565000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로,128GB
E,42000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,갤럭시 와이드5,128GB
D,730000.0,개봉,테두리,후면,없음,없음,배터리성능저하,아이폰 14 프로,256GB
B,314000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 Z폴드3,256GB
C,90000.0,개봉,없음,전면,없음,없음,없음,갤럭시 노트 8,256GB
A,344000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
E,1000.0,개봉,"전면, 테두리",없음,없음,없음,터치,아이패드 미니 4세대 Wifi,16GB
C,1000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,없음,갤럭시 노트 3,64GB
C,1000.0,개봉,"후면, 테두리",테두리,없음,없음,없음,갤럭시 노트 3,64GB
D,192000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12 미니,128GB
E,167000.0,개봉,없음,테두리,없음,없음,터치,아이폰 11,256GB
A,886000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,256GB
C,192000.0,개봉,없음,후면,없음,없음,없음,아이폰 12 미니,128GB
D,620000.0,개봉,없음,전면,없음,없음,배터리성능저하,아이폰 14 프로,128GB
A,334000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립4,256GB
C,329000.0,개봉,테두리,"전면, 후면",없음,없음,없음,갤럭시 S22 플러스,256GB
D,50000.0,개봉,전면,전면,없음,없음,없음,아이폰 6S 플러스,64GB
D,227000.0,개봉,전면,테두리,없음,없음,배터리성능저하,아이폰 11 프로,64GB
E,1000.0,개봉,없음,전면,없음,잔상있음,없음,아이폰 12 미니,256GB
B,92000.0,개봉,전면,없음,없음,없음,없음,갤럭시 A23,128GB
D,302000.0,개봉,없음,"전면, 후면",없음,없음,없음,아이폰 12 프로,128GB
A,505000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,512GB
D,165000.0,개봉,테두리,전면,없음,없음,"생체인식, 배터리성능저하",아이폰 11 프로,64GB
C,182000.0,개봉,전면,테두리,없음,없음,없음,아이폰 11,64GB
D,222000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 12,128GB
C,70000.0,개봉,"전면, 테두리",전면,없음,없음,없음,갤럭시 S8,64GB
E,115000.0,개봉,테두리,테두리,LCD 파손,"카메라, 배터리성능저하",검수중,아이폰 11,128GB
D,339000.0,개봉,테두리,"전면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,256GB
C,172000.0,개봉,없음,테두리,없음,없음,없음,갤럭시Z플립4,256GB
D,540000.0,개봉,전면,없음,없음,없음,배터리성능저하,아이폰 13 프로,512GB
D,162000.0,개봉,전면,"전면, 테두리",없음,없음,없음,아이폰 11,64GB
E,30000.0,개봉,테두리,전면,LCD 파손,없음,검수중,아이폰 X,64GB
D,95000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 X,64GB
A,650000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로,512GB
D,374000.0,개봉,테두리,후면,없음,없음,"배터리성능저하, 카메라",아이폰 13 프로,128GB
E,312000.0,개봉,"전면, 테두리",후면,없음,잔상있음,배터리성능저하,아이폰 12 프로 맥스,256GB
E,116000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,잔상있음,"배터리성능저하, 스피커, 마이크, 진동",아이폰 11 프로 맥스,64GB
S,1045000.0,미개봉,없음,없음,없음,없음,없음,갤럭시 S23 울트라,512GB
E,359000.0,개봉,테두리,테두리,없음,없음,"배터리성능저하, 스피커, 마이크, 진동",아이폰 12 프로 맥스,128GB
B,322000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13 미니,128GB
A,670000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 플러스,256GB
E,103000.0,개봉,전면,없음,없음,잔상있음,없음,갤럭시 S10 플러스,128GB
C,125000.0,개봉,전면,후면,없음,없음,없음,아이폰 8 플러스,64GB
A,545000.0,개봉,없음,없음,없음,없음,없음,아이폰 13,1024GB
D,339000.0,개봉,"후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 12 프로,256GB
A,881000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S23 울트라,256GB
D,419000.0,개봉,"전면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
C,45000.0,개봉,전면,"전면, 후면",없음,없음,없음,갤럭시 A80,128GB
D,399000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
D,40000.0,개봉,테두리,전면,없음,없음,배터리성능저하,아이폰 7,32GB
E,1000.0,개봉,"전면, 후면, 테두리","전면, 테두리",LCD 파손,없음,검수중,아이폰 12 미니,128GB
D,242000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 12,128GB
B,207000.0,개봉,후면,없음,없음,없음,없음,갤럭시S21,256GB
D,359000.0,개봉,테두리,후면,없음,없음,배터리성능저하,아이폰 12 프로,256GB
C,192000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12,64GB
E,67000.0,개봉,없음,없음,없음,잔상있음,없음,갤럭시 노트 9,128GB
D,155000.0,개봉,전면,전면,없음,없음,없음,아이폰 11,64GB
D,312000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 12 프로,128GB
E,82000.0,개봉,없음,없음,LCD 파손,"배터리성능저하, 카메라",검수중,아이폰 13 프로,128GB
F,7000.0,개봉,없음,없음,LCD 파손,"배터리성능저하, 카메라",검수중,아이폰 7,32GB
D,322000.0,개봉,"후면, 테두리",없음,없음,없음,"전원, 충전, 배터리성능저하",아이폰 12 프로,128GB
A,1031000.0,개봉,전면,없음,없음,없음,배터리성능저하,갤럭시 폴드5,256GB
D,374000.0,개봉,없음,없음,없음,없음,없음,아이폰 13,128GB
B,996000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 14 프로맥스,256GB
C,147000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 노트20,256GB
C,147000.0,개봉,테두리,테두리,없음,없음,없음,갤럭시 노트20,256GB
D,147000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12 미니,64GB
E,17000.0,개봉,"전면, 후면","전면, 후면",LCD 파손,없음,검수중,갤럭시 노트 9,128GB
D,17000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 6,32GB
C,289000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 노트20 울트라,256GB
A,93000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S9,64GB
D,18000.0,개봉,"전면, 후면, 테두리","전면, 테두리",없음,없음,없음,아이폰 SE,64GB
A,520000.0,개봉,없음,없음,없음,없음,없음,갤럭시 Z폴드3,512GB
B,535000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,없음,아이폰 14,128GB
C,62000.0,미개봉,없음,없음,없음,없음,없음,아이폰 7 플러스,128GB
S,881000.0,개봉,없음,테두리,없음,없음,"배터리성능저하, 카메라",아이폰 13 프로맥스,256GB
D,170000.0,개봉,"전면, 후면","전면, 후면",없음,없음,없음,아이폰 12,128GB
D,83000.0,개봉,"전면, 후면, 테두리",테두리,없음,없음,없음,아이폰 X,64GB
C,455000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,256GB
A,344000.0,미개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
S,1661000.0,개봉,전면,테두리,없음,없음,없음,아이폰 15 프로,1024GB
C,162000.0,개봉,후면,테두리,없음,없음,없음,아이폰 XS,256GB
D,207000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 11,128GB
A,65000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A30,32GB
D,222000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12,256GB
D,312000.0,개봉,"후면, 테두리",후면,없음,없음,"생체인식, 배터리성능저하",아이폰 12 프로,256GB
D,207000.0,개봉,후면,없음,없음,없음,배터리성능저하,아이폰 11,128GB
C,172000.0,개봉,없음,테두리,없음,없음,없음,아이폰 XR,128GB
E,142000.0,개봉,테두리,테두리,LCD 파손,생체인식,검수중,아이폰 11 프로,256GB
D,75000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 SE2 (2020),64GB
D,192000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 12,64GB
B,292000.0,개봉,"후면, 테두리",없음,없음,없음,없음,아이폰 13 미니,128GB
C,135000.0,개봉,없음,후면,없음,없음,없음,갤럭시 S20 플러스,256GB
C,277000.0,개봉,후면,테두리,없음,없음,없음,아이폰 13 미니,128GB
E,24000.0,개봉,"후면, 테두리",테두리,없음,잔상있음,없음,갤럭시 A21S,32GB
D,142000.0,개봉,없음,전면,없음,없음,없음,아이폰 XS,256GB
D,326000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 13,128GB
A,886000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 14 프로,256GB
C,244000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
A,881000.0,개봉,"전면, 테두리",테두리,없음,없음,없음,갤럭시 S23 울트라,256GB
E,42000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,없음,검수중,갤럭시 S20,128GB
D,605000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 13 프로맥스,256GB
D,740000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 14 프로,256GB
E,103000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11,64GB
E,80000.0,개봉,테두리,"전면, 테두리",없음,잔상있음,배터리성능저하,아이폰 8,256GB
D,277000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 13 미니,128GB
D,125000.0,개봉,"전면, 후면, 테두리",테두리,없음,없음,없음,아이폰 11,64GB
C,125000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,갤럭시 Z플립3,256GB
D,222000.0,개봉,테두리,"전면, 후면",없음,없음,없음,아이폰 12,128GB
F,1000.0,개봉,"전면, 후면, 테두리",전면,LCD 파손,전원,검수중,갤럭시 S7,32GB
F,17000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"전원, 충전",검수중,아이폰 X,64GB
D,201000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12,128GB
D,242000.0,개봉,"전면, 테두리",전면,없음,없음,없음,아이폰 12,128GB
C,450000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 13 프로,128GB
D,510000.0,개봉,"전면, 테두리",후면,없음,없음,없음,아이폰 13 프로,256GB
D,27000.0,개봉,테두리,후면,없음,없음,배터리성능저하,아이폰 6S,32GB
F,2000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 6S,32GB
C,455000.0,개봉,테두리,없음,없음,없음,"전원, 충전, 배터리성능저하",아이폰 12 프로 맥스,256GB
C,455000.0,개봉,없음,"후면, 테두리",없음,없음,없음,아이폰 12 프로 맥스,256GB
E,157000.0,개봉,테두리,없음,LCD 파손,배터리성능저하,검수중,아이폰 11,128GB
C,520000.0,개봉,"전면, 테두리",테두리,없음,없음,없음,아이폰 13 프로,256GB
E,78000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"카메라, 터치",검수중,갤럭시 노트20 울트라,256GB
C,135000.0,개봉,"전면, 테두리",테두리,없음,없음,없음,아이폰 XR,64GB
A,334000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S20 울트라,512GB
B,90000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트 8,256GB
E,110000.0,개봉,"후면, 테두리",없음,없음,없음,없음,아이폰 12 프로,256GB
E,83000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,생체인식,갤럭시 S10 5G,256GB
E,83000.0,개봉,없음,전면,없음,잔상있음,없음,갤럭시 S10 5G,256GB
D,354000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,"카메라, 배터리성능저하",아이폰 13 프로,128GB
E,67000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,"카메라, 배터리성능저하",아이폰 X,256GB
C,105000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 노트 9,128GB
A,645000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,펜분실,갤럭시 S22 울트라,256GB
D,339000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
D,339000.0,개봉,없음,전면,없음,없음,배터리성능저하,아이폰 12 프로,256GB
E,2000.0,개봉,없음,전면,없음,없음,배터리성능저하,아이폰 6S,64GB
A,1301000.0,개봉,없음,전면,없음,없음,배터리성능저하,아이폰 15 프로맥스,256GB
E,2000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,"배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 6S,64GB
A,1301000.0,개봉,없음,없음,없음,없음,없음,아이폰 15 프로맥스,256GB
C,460000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 13 프로,128GB
C,206000.0,개봉,"후면, 테두리",테두리,없음,없음,없음,아이폰 11 프로,64GB
E,90000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,갤럭시 노트20 울트라,256GB
E,7000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 12 미니,128GB
A,655000.0,개봉,후면,없음,없음,없음,배터리성능저하,아이폰 15,128GB
C,92000.0,개봉,없음,없음,없음,없음,없음,아이패드 프로 12.9 3세대 Wifi,256GB
C,92000.0,개봉,테두리,테두리,없음,없음,없음,아이패드 프로 12.9 3세대 Wifi,256GB
D,192000.0,개봉,테두리,후면,없음,없음,배터리성능저하,아이폰 12,64GB
E,19000.0,개봉,테두리,"전면, 테두리",LCD 파손,계정잠김,검수중,아이폰 11,128GB
E,20000.0,개봉,없음,전면,LCD 파손,없음,검수중,갤럭시 S10 5G,256GB
C,540000.0,개봉,"전면, 테두리",없음,없음,없음,없음,아이폰 13 프로,256GB
B,83000.0,개봉,전면,없음,없음,없음,없음,갤럭시 S10E,128GB
D,460000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 13,256GB
C,394000.0,개봉,없음,테두리,없음,없음,없음,아이폰 13,128GB
C,78000.0,개봉,없음,전면,없음,없음,없음,갤럭시 S10E,128GB
E,125000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 11 프로,256GB
C,110000.0,개봉,"전면, 후면","전면, 후면",없음,없음,없음,갤럭시 노트 9,128GB
D,105000.0,개봉,없음,테두리,없음,없음,"카메라, 배터리성능저하",아이폰 XR,64GB
C,359000.0,개봉,전면,테두리,없음,없음,없음,아이폰 12 프로,256GB
E,25000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,갤럭시 S10,128GB
S,665000.0,미개봉,없음,없음,없음,없음,없음,갤럭시 S23,256GB
