등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
D,349000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,없음,아이폰 12 프로,256GB
C,2000.0,개봉,없음,없음,없음,없음,없음,갤럭시 J2 Pro,16GB
D,322000.0,개봉,"후면, 테두리",후면,LCD 파손,없음,검수중,아이폰 12 프로,128GB
E,93000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 12,128GB
C,74000.0,개봉,전면,없음,없음,없음,없음,갤럭시 S8 플러스,64GB
D,237000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
C,123000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트 10,256GB
A,156000.0,개봉,테두리,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
E,60000.0,개봉,테두리,없음,없음,없음,없음,아이폰 XS,64GB
D,98000.0,개봉,테두리,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
C,791000.0,미개봉,없음,없음,없음,없음,없음,아이폰 14 프로,256GB
A,400000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,갤럭시 노트20 울트라,256GB
B,344000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,갤럭시S21 울트라,256GB
S,911000.0,개봉,후면,"후면, 테두리",없음,없음,펜분실,갤럭시Z플립5,512GB
D,322000.0,개봉,"후면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 프로,128GB
D,1000.0,개봉,테두리,"전면, 후면, 테두리",없음,없음,배터리성능저하,갤럭시 노트 3,16GB
D,520000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 프로,256GB
D,108000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 XS,64GB
D,359000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
D,202000.0,개봉,없음,테두리,없음,없음,없음,아이폰 12 미니,256GB
A,82000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 A22,128GB
D,108000.0,개봉,"전면, 후면, 테두리",전면,없음,없음,배터리성능저하,아이폰 XS,64GB
D,359000.0,개봉,테두리,테두리,LCD 파손,"계정잠김, 배터리성능저하",검수중,아이폰 12 프로,256GB
D,202000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 미니,256GB
A,82000.0,개봉,후면,"전면, 테두리",없음,없음,없음,갤럭시 A22,128GB
C,410000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 미니,256GB
B,125000.0,개봉,없음,없음,없음,없음,배터리성능저하,갤럭시 노트 9,128GB
D,35000.0,개봉,테두리,없음,없음,없음,없음,아이폰 7,128GB
E,35000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13 미니,256GB
B,425000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,128GB
C,68000.0,개봉,테두리,전면,없음,없음,없음,갤럭시 A51,128GB
D,394000.0,개봉,없음,전면,없음,없음,없음,아이폰 13,128GB
B,297000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,없음,아이폰 12,128GB
D,312000.0,개봉,없음,전면,LCD 파손,없음,검수중,아이폰 12 프로,128GB
D,247000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,없음,아이폰 11 프로,256GB
D,453000.0,개봉,후면,"전면, 테두리",없음,없음,배터리성능저하,아이폰 13 프로,256GB
C,27000.0,개봉,후면,"전면, 테두리",없음,없음,배터리성능저하,아이폰 6S,32GB
E,4000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S8,64GB
C,27000.0,개봉,없음,"전면, 후면",LCD 파손,터치,검수중,아이폰 6S,32GB
D,170000.0,개봉,전면,테두리,없음,없음,"전원, 충전, 배터리성능저하",아이폰 12,64GB
A,83000.0,개봉,전면,"전면, 테두리",없음,없음,배터리성능저하,갤럭시 S8,64GB
D,170000.0,개봉,없음,없음,LCD 파손,없음,검수중,아이폰 12,64GB
A,83000.0,개봉,"후면, 테두리",테두리,없음,없음,"카메라, 배터리성능저하",갤럭시 S8,64GB
E,32000.0,개봉,"후면, 테두리",테두리,없음,없음,"카메라, 배터리성능저하",갤럭시 노트 10 플러스,256GB
F,25000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"배터리성능저하, 생체인식",아이폰 12 미니,64GB
D,197000.0,개봉,없음,"전면, 테두리",없음,없음,없음,아이폰 11 프로,64GB
D,322000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
E,57000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 XS,64GB
D,103000.0,개봉,없음,없음,없음,없음,"생체인식, 배터리성능저하",아이폰 11,128GB
D,242000.0,개봉,"전면, 테두리",전면,없음,없음,없음,아이폰 12 프로,128GB
D,162000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,배터리성능저하,아이폰 11,64GB
D,162000.0,개봉,테두리,없음,LCD 파손,"카메라, 배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 11,64GB
D,105000.0,개봉,테두리,없음,LCD 파손,"카메라, 배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 SE2 (2020),128GB
D,257000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,배터리성능저하,아이폰 11 프로,256GB
D,22000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,배터리성능저하,아이폰 7,32GB
D,95000.0,개봉,테두리,없음,LCD 파손,"카메라, 배터리성능저하, 스피커, 마이크, 진동",검수중,아이폰 SE2 (2020),128GB
D,339000.0,개봉,전면,없음,없음,없음,없음,아이폰 12 프로,256GB
E,137000.0,개봉,전면,전면,LCD 파손,없음,검수중,아이폰 11 프로 맥스,256GB
C,775000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 14 프로,256GB
E,45000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 카메라, 생체인식",검수중,갤럭시 S20,128GB
D,242000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 카메라, 생체인식",검수중,아이폰 12,128GB
E,137000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 11 프로 맥스,256GB
C,775000.0,개봉,없음,없음,없음,없음,없음,아이폰 14 프로,256GB
E,45000.0,개봉,"전면, 후면",테두리,없음,없음,"배터리성능저하, 스피커, 마이크, 진동",갤럭시 S20,128GB
D,242000.0,개봉,전면,전면,LCD 파손,와이파이,검수중,아이폰 12,128GB
E,83000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,갤럭시 노트20 울트라,256GB
D,207000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 11,128GB
A,274000.0,개봉,"후면, 테두리",후면,없음,없음,없음,갤럭시S21,256GB
E,93000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 미니,64GB
E,37000.0,개봉,없음,없음,없음,없음,없음,아이폰 12,128GB
D,339000.0,개봉,없음,테두리,없음,없음,없음,아이폰 11 프로 맥스,256GB
D,339000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 스피커, 마이크, 진동",검수중,아이폰 11 프로 맥스,256GB
C,142000.0,개봉,전면,전면,LCD 파손,터치,검수중,갤럭시 폴드,512GB
A,,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12 미니,256GB
C,207000.0,개봉,"전면, 테두리",없음,없음,없음,없음,아이폰 11,128GB
E,75000.0,개봉,후면,없음,LCD 파손,"터치, 계정잠김",검수중,갤럭시 Z폴드3,512GB
E,47000.0,개봉,테두리,테두리,LCD 파손,없음,검수중,갤럭시Z플립4,512GB
D,212000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12,128GB
C,394000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 프로,256GB
E,15000.0,개봉,없음,없음,없음,없음,없음,아이폰 X,64GB
E,1000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,카메라,옵티머스 G 뷰2,32GB
E,15000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,카메라,아이폰 X,64GB
E,1000.0,개봉,테두리,전면,없음,잔상있음,없음,옵티머스 G 뷰2,32GB
D,192000.0,개봉,"전면, 후면, 테두리",후면,없음,잔상있음,없음,아이폰 12,64GB
B,610000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 13 프로,256GB
A,40000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A10e,32GB
D,502000.0,개봉,없음,테두리,없음,없음,없음,아이폰 14 프로,128GB
E,64000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 S9 플러스,256GB
E,67000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 노트 9,512GB
E,57000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 12,64GB
A,215000.0,개봉,"전면, 후면, 테두리",테두리,없음,없음,배터리성능저하,아이패드 미니 6세대 Wifi,64GB
C,110000.0,개봉,테두리,"후면, 테두리",없음,없음,배터리성능저하,갤럭시 노트 9,128GB
C,98000.0,개봉,없음,없음,없음,없음,카메라,아이폰 SE2 (2020),128GB
D,182000.0,개봉,없음,없음,없음,없음,카메라,아이폰 12 미니,128GB
D,227000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,64GB
D,415000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 프로,128GB
D,339000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"와이파이, 배터리성능저하",아이폰 12 프로 맥스,128GB
A,495000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"와이파이, 배터리성능저하",아이폰 12 프로,256GB
D,142000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,"배터리성능저하, 스피커, 마이크, 진동",아이폰 11 프로,64GB
E,175000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 11,128GB
A,495000.0,개봉,테두리,"전면, 테두리",없음,없음,"카메라, 배터리성능저하",아이폰 12 프로,256GB
D,142000.0,개봉,없음,없음,없음,없음,와이파이,아이폰 11 프로,64GB
E,175000.0,개봉,테두리,후면,없음,없음,없음,아이폰 11,128GB
D,447000.0,개봉,후면,"전면, 테두리",없음,없음,없음,아이폰 13,256GB
D,167000.0,개봉,테두리,없음,없음,없음,없음,아이폰 11 프로,64GB
D,130000.0,개봉,테두리,전면,없음,없음,배터리성능저하,아이폰 12 미니,128GB
C,257000.0,개봉,없음,전면,LCD 파손,없음,검수중,아이폰 13 미니,128GB
D,237000.0,개봉,테두리,전면,없음,없음,없음,아이폰 11 프로,256GB
B,45000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE,64GB
D,83000.0,개봉,테두리,테두리,없음,없음,카메라,아이폰 SE2 (2020),128GB
D,83000.0,개봉,없음,없음,없음,없음,없음,아이폰 SE2 (2020),128GB
E,123000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,갤럭시S21 울트라,256GB
D,197000.0,개봉,전면,없음,없음,없음,없음,아이폰 XS Max,256GB
A,354000.0,개봉,테두리,없음,LCD 파손,"터치, 전원",검수중,아이폰 12,128GB
C,42000.0,개봉,전면,전면,LCD 파손,터치,검수중,갤럭시 A80,128GB
C,110000.0,개봉,전면,전면,LCD 파손,터치,검수중,갤럭시 노트 9,128GB
C,257000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
A,257000.0,개봉,전면,없음,없음,없음,배터리성능저하,아이패드 9세대 Wifi,256GB
A,267000.0,개봉,없음,전면,없음,없음,없음,갤럭시 Z플립3,256GB
F,1000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,갤럭시 S9,64GB
E,45000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S20 플러스,256GB
A,344000.0,개봉,없음,없음,없음,없음,없음,갤럭시Z플립4,512GB
D,192000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 12 미니,128GB
D,339000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 11 프로 맥스,256GB
E,40000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 X,256GB
A,207000.0,개봉,없음,없음,없음,없음,배터리성능저하,갤럭시 S10 5G,256GB
A,225000.0,개봉,"전면, 테두리",후면,없음,없음,"카메라, 배터리성능저하",갤럭시 노트20,256GB
C,289000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트20 울트라,256GB
D,460000.0,개봉,"전면, 후면",없음,없음,없음,없음,아이폰 13,256GB
C,289000.0,개봉,테두리,후면,없음,없음,배터리성능저하,갤럭시 노트20 울트라,256GB
D,460000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13,256GB
D,349000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 프로 맥스,128GB
B,162000.0,개봉,전면,테두리,없음,없음,없음,갤럭시 S10 5G,256GB
D,420000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 12 프로,256GB
D,394000.0,개봉,후면,테두리,없음,없음,배터리성능저하,아이폰 13,128GB
B,207000.0,개봉,"전면, 후면, 테두리","전면, 테두리",LCD 파손,터치,검수중,갤럭시S21,256GB
A,279000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음,아이폰 11 프로,64GB
C,270000.0,개봉,"전면, 후면","전면, 테두리",LCD 파손,없음,검수중,갤럭시 S20 울트라,256GB
C,790000.0,개봉,"전면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 14 프로맥스,128GB
D,105000.0,개봉,전면,전면,없음,없음,없음,아이폰 SE3 (2022),64GB
D,267000.0,개봉,전면,전면,없음,없음,없음,아이폰 11 프로,256GB
E,5000.0,개봉,"전면, 테두리",전면,없음,없음,배터리성능저하,갤럭시 S8,64GB
D,292000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,없음,아이폰 12 프로,128GB
E,52000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,갤럭시 Z폴드2,256GB
D,166000.0,개봉,테두리,없음,없음,없음,없음,아이폰 11,64GB
C,130000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 S10 5G,256GB
D,108000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 XS,64GB
C,70000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A31,64GB
C,70000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,갤럭시 A31,64GB
D,419000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,128GB
B,297000.0,개봉,없음,전면,없음,없음,터치,아이폰 12,128GB
D,419000.0,개봉,없음,전면,없음,없음,터치,아이폰 12 프로 맥스,128GB
A,520000.0,개봉,없음,"전면, 테두리",없음,없음,배터리성능저하,갤럭시 Z폴드3,256GB
D,168000.0,개봉,"후면, 테두리",없음,없음,없음,없음,아이폰 11,128GB
A,217000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S10 5G,512GB
E,172000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,없음,아이폰 11 프로,512GB
D,349000.0,개봉,테두리,후면,없음,없음,없음,아이폰 12 프로,512GB
D,212000.0,개봉,"전면, 테두리",전면,없음,없음,터치,아이폰 12,128GB
D,349000.0,개봉,테두리,"전면, 후면",없음,없음,없음,아이폰 12 프로,512GB
D,212000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12,128GB
C,12000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A8 (2018),32GB
B,80000.0,개봉,없음,없음,없음,잔상있음,없음,갤럭시 A32,64GB
A,274000.0,개봉,없음,없음,없음,잔상있음,없음,갤럭시S21,256GB
D,680000.0,개봉,없음,전면,없음,없음,없음,아이폰 14 프로,256GB
C,128000.0,개봉,없음,전면,없음,없음,없음,아이폰 XR,64GB
E,77000.0,개봉,전면,"전면, 후면",LCD 파손,터치,검수중,아이폰 XS,256GB
C,265000.0,개봉,없음,후면,LCD 파손,없음,검수중,갤럭시 S22,256GB
D,329000.0,개봉,없음,후면,LCD 파손,없음,검수중,아이폰 11 프로 맥스,256GB
E,137000.0,개봉,전면,전면,없음,잔상있음,없음,갤럭시 노트 10 플러스,512GB
C,490000.0,개봉,"후면, 테두리",후면,없음,없음,없음,갤럭시 S22 울트라,256GB
D,302000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,터치,아이폰 12 프로,128GB
E,34000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,갤럭시 노트 10 플러스,512GB
E,187000.0,개봉,없음,"전면, 테두리",없음,없음,펜분실,아이폰 13 프로,256GB
E,137000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 XS Max,256GB
C,108000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 X,64GB
E,112000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,검수중,아이폰 11 프로,64GB
D,339000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 전원",검수중,아이폰 12 프로,256GB
D,83000.0,개봉,"전면, 후면, 테두리",후면,없음,없음,배터리성능저하,갤럭시 노트 8,64GB
D,83000.0,개봉,없음,후면,없음,없음,없음,갤럭시 노트 8,64GB
D,192000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 12 미니,128GB
C,500000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 14 플러스,128GB
E,65000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,잔상있음,배터리성능저하,아이폰 SE2 (2020),128GB
D,302000.0,개봉,전면,없음,없음,없음,없음,아이폰 12 프로,128GB
E,93000.0,개봉,전면,없음,없음,없음,없음,아이폰 XR,128GB
F,7000.0,개봉,"전면, 테두리",전면,LCD 파손,카메라,검수중,갤럭시 S22 플러스,256GB
D,322000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 프로,128GB
C,168000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,갤럭시S21 플러스,256GB
C,78000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,갤럭시 S8 플러스,64GB
C,215000.0,개봉,없음,"전면, 테두리",없음,없음,없음,아이폰 11 프로,64GB
E,37000.0,개봉,없음,없음,없음,없음,없음,아이폰 XR,64GB
D,312000.0,개봉,테두리,"후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,128GB
D,161000.0,개봉,없음,전면,없음,없음,없음,아이폰 12 미니,128GB
A,495000.0,개봉,없음,전면,없음,없음,없음,아이폰 12 프로,256GB
D,152000.0,개봉,없음,전면,없음,없음,없음,아이폰 11,128GB
D,142000.0,개봉,테두리,없음,없음,없음,없음,아이폰 XS,256GB
B,497000.0,개봉,전면,테두리,없음,없음,없음,아이폰 13,256GB
C,102000.0,개봉,전면,전면,없음,없음,없음,갤럭시 S9 플러스,64GB
D,399000.0,개봉,없음,전면,없음,없음,없음,아이폰 12 프로 맥스,128GB
D,142000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 XS,256GB
B,497000.0,개봉,전면,전면,LCD 파손,터치,검수중,아이폰 13,256GB
D,399000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"생체인식, 배터리성능저하, 터치",검수중,아이폰 12 프로 맥스,128GB
D,192000.0,개봉,전면,전면,없음,없음,없음,아이폰 12 미니,128GB
C,172000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,갤럭시S21,256GB
D,826000.0,개봉,테두리,"전면, 후면, 테두리",없음,없음,"카메라, 배터리성능저하",아이폰 14 프로맥스,256GB
C,13000.0,개봉,테두리,후면,없음,없음,배터리성능저하,갤럭시 S7 엣지,128GB
E,76000.0,개봉,없음,없음,LCD 파손,"생체인식, 배터리성능저하",검수중,갤럭시 S20 울트라,256GB
D,88000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 SE2 (2020),128GB
C,72000.0,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,갤럭시 A51,128GB
D,71000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 SE2 (2020),64GB
D,317000.0,개봉,후면,테두리,없음,없음,없음,아이폰 13,256GB
D,267000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
E,77000.0,개봉,없음,없음,없음,없음,없음,아이폰 12,128GB
D,394000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"생체인식, 배터리성능저하, 터치",검수중,아이폰 13,128GB
D,244000.0,개봉,전면,전면,없음,없음,없음,아이폰 13 미니,128GB
C,128000.0,개봉,전면,전면,없음,없음,없음,아이폰 XR,64GB
A,440000.0,개봉,없음,전면,없음,없음,없음,갤럭시 Z폴드2,256GB
A,440000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,갤럭시 Z폴드2,256GB
C,72000.0,개봉,전면,전면,LCD 파손,터치,검수중,갤럭시 A51,128GB
D,71000.0,개봉,전면,전면,없음,없음,없음,아이폰 SE2 (2020),64GB
D,317000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"생체인식, 배터리성능저하, 터치",검수중,아이폰 13,256GB
D,399000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
C,172000.0,개봉,테두리,"전면, 후면",없음,없음,생체인식,갤럭시S21,256GB
D,826000.0,개봉,"전면, 테두리",전면,없음,없음,없음,아이폰 14 프로맥스,256GB
C,13000.0,개봉,테두리,후면,없음,없음,터치,갤럭시 S7 엣지,128GB
E,76000.0,개봉,전면,전면,없음,없음,없음,갤럭시 S20 울트라,256GB
D,88000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 SE2 (2020),128GB
E,93000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,카메라,아이폰 11,128GB
C,72000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A51,128GB
D,71000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"생체인식, 배터리성능저하",아이폰 SE2 (2020),64GB
D,317000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 13,256GB
E,14000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,갤럭시 Z플립3,256GB
D,187000.0,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 11,128GB
C,102000.0,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,카메라,갤럭시 A52S,128GB
E,210000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
D,305000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"생체인식, 배터리성능저하",아이폰 11 프로,256GB
D,349000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"생체인식, 배터리성능저하",아이폰 12 프로,256GB
D,92000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 SE3 (2022),128GB
D,115000.0,개봉,없음,후면,없음,없음,없음,아이폰 XS,256GB
