시간,등급,가격,이름,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량
2일 전,E,"93,000",아이폰 12 미니 64GB,개봉,없음,없음,없음,없음,없음
2일 전,E,"37,000",아이폰 12 128GB,개봉,없음,없음,없음,없음,없음
2일 전,D,"339,000",아이폰 11 프로 맥스 256GB,개봉,없음,테두리,없음,없음,없음
2일 전,D,"339,000",아이폰 11 프로 맥스 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 스피커, 마이크, 진동","E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
2일 전,C,"142,000",갤럭시 폴드 512GB,개봉,전면,전면,LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
2일 전,A,"견적
",아이폰 12 미니 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하
2일 전,C,"207,000",아이폰 11 128GB,개봉,"전면, 테두리",없음,없음,없음,없음
2일 전,E,"75,000",갤럭시 Z폴드3 512GB,개봉,후면,없음,LCD 파손,"터치, 계정잠김","E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
2일 전,E,"47,000",갤럭시Z플립4 512GB,개봉,테두리,테두리,LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
2일 전,D,"212,000",아이폰 12 128GB,개봉,테두리,테두리,없음,없음,배터리성능저하
2일 전,C,"394,000",아이폰 12 프로 256GB,개봉,테두리,없음,없음,없음,없음
2일 전,E,"15,000",아이폰 X 64GB,개봉,없음,없음,없음,없음,없음
2일 전,E,"1,000",옵티머스 G 뷰2 32GB,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,카메라
2일 전,E,"15,000",아이폰 X 64GB,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,카메라
2일 전,E,"1,000",옵티머스 G 뷰2 32GB,개봉,테두리,전면,없음,잔상있음,없음
2일 전,D,"192,000",아이폰 12 64GB,개봉,"전면, 후면, 테두리",후면,없음,잔상있음,없음
2일 전,B,"610,000",아이폰 13 프로 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
2일 전,A,"40,000",갤럭시 A10e 32GB,개봉,없음,없음,없음,없음,없음
2일 전,D,"502,000",아이폰 14 프로 128GB,개봉,없음,테두리,없음,없음,없음
2일 전,E,"64,000",갤럭시 S9 플러스 256GB,개봉,없음,테두리,없음,없음,없음
2일 전,E,"67,000",갤럭시 노트 9 512GB,개봉,없음,테두리,없음,없음,없음
2일 전,E,"57,000",아이폰 12 64GB,개봉,없음,없음,없음,없음,배터리성능저하
2일 전,A,"215,000",아이패드 미니 6세대 Wifi 64GB,개봉,"전면, 후면, 테두리",테두리,없음,없음,배터리성능저하
2일 전,A,"215,000",아이패드 미니 6세대 Wifi 64GB,개봉,"전면, 후면, 테두리",테두리,없음,없음,배터리성능저하
2일 전,C,"110,000",갤럭시 노트 9 128GB,개봉,테두리,"후면, 테두리",없음,없음,배터리성능저하
2일 전,C,"98,000",아이폰 SE2 (2020) 128GB,개봉,없음,없음,없음,없음,카메라
2일 전,D,"182,000",아이폰 12 미니 128GB,개봉,없음,없음,없음,없음,카메라
2일 전,D,"227,000",아이폰 11 프로 64GB,개봉,없음,없음,없음,없음,없음
2일 전,D,"415,000",아이폰 13 프로 128GB,개봉,없음,없음,없음,없음,없음
2일 전,D,"339,000",아이폰 12 프로 맥스 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"와이파이, 배터리성능저하"
2일 전,A,"495,000",아이폰 12 프로 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"와이파이, 배터리성능저하"
2일 전,D,"142,000",아이폰 11 프로 64GB,개봉,"후면, 테두리","후면, 테두리",없음,없음,"배터리성능저하, 스피커, 마이크, 진동"
2일 전,E,"175,000",아이폰 11 128GB,개봉,없음,테두리,없음,없음,배터리성능저하
2일 전,A,"495,000",아이폰 12 프로 256GB,개봉,테두리,"전면, 테두리",없음,없음,"카메라, 배터리성능저하"
2일 전,D,"142,000",아이폰 11 프로 64GB,개봉,없음,없음,없음,없음,와이파이
2일 전,E,"175,000",아이폰 11 128GB,개봉,테두리,후면,없음,없음,없음
2일 전,D,"447,000",아이폰 13 256GB,개봉,후면,"전면, 테두리",없음,없음,없음
2일 전,D,"167,000",아이폰 11 프로 64GB,개봉,테두리,없음,없음,없음,없음
2일 전,D,"130,000",아이폰 12 미니 128GB,개봉,테두리,전면,없음,없음,배터리성능저하
2일 전,C,"257,000",아이폰 13 미니 128GB,개봉,없음,전면,LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
2일 전,D,"237,000",아이폰 11 프로 256GB,개봉,테두리,전면,없음,없음,없음
2일 전,B,"45,000",아이폰 SE 64GB,개봉,없음,없음,없음,없음,없음
2일 전,D,"83,000",아이폰 SE2 (2020) 128GB,개봉,테두리,테두리,없음,없음,카메라
2일 전,B,"45,000",아이폰 SE 64GB,개봉,없음,없음,없음,없음,없음
2일 전,D,"83,000",아이폰 SE2 (2020) 128GB,개봉,없음,없음,없음,없음,없음
2일 전,E,"123,000",갤럭시S21 울트라 256GB,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하
3일 전,D,"197,000",아이폰 XS Max 256GB,개봉,전면,없음,없음,없음,없음
3일 전,A,"354,000",아이폰 12 128GB,개봉,테두리,없음,LCD 파손,"터치, 전원","F급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,C,"42,000",갤럭시 A80 128GB,개봉,전면,전면,LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,C,"110,000",갤럭시 노트 9 128GB,개봉,전면,전면,LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,C,"257,000",아이폰 11 프로 256GB,개봉,없음,없음,없음,없음,없음
3일 전,A,"257,000",아이패드 9세대 Wifi 256GB,개봉,전면,없음,없음,없음,배터리성능저하
3일 전,A,"267,000",갤럭시 Z플립3 256GB,개봉,없음,전면,없음,없음,없음
3일 전,F,"1,000",갤럭시 S9 64GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,E,"45,000",갤럭시 S20 플러스 256GB,개봉,없음,없음,없음,없음,없음
3일 전,A,"344,000",갤럭시Z플립4 512GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"192,000",아이폰 12 미니 128GB,개봉,테두리,테두리,없음,없음,없음
3일 전,D,"339,000",아이폰 11 프로 맥스 256GB,개봉,테두리,테두리,없음,없음,없음
3일 전,E,"40,000",아이폰 X 256GB,개봉,테두리,테두리,없음,없음,없음
3일 전,A,"207,000",갤럭시 S10 5G 256GB,개봉,없음,없음,없음,없음,배터리성능저하
3일 전,A,"225,000",갤럭시 노트20 256GB,개봉,"전면, 테두리",후면,없음,없음,"카메라, 배터리성능저하"
3일 전,C,"289,000",갤럭시 노트20 울트라 256GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"460,000",아이폰 13 256GB,개봉,"전면, 후면",없음,없음,없음,없음
3일 전,C,"289,000",갤럭시 노트20 울트라 256GB,개봉,테두리,후면,없음,없음,배터리성능저하
3일 전,D,"460,000",아이폰 13 256GB,개봉,없음,없음,없음,없음,배터리성능저하
3일 전,D,"349,000",아이폰 12 프로 맥스 128GB,개봉,테두리,없음,없음,없음,없음
3일 전,A,"287,000",애플워치 8시리즈 45mm 셀룰러 32GB,개봉,없음,없음,없음,없음,없음
3일 전,B,"162,000",갤럭시 S10 5G 256GB,개봉,전면,테두리,없음,없음,없음
3일 전,D,"420,000",아이폰 12 프로 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음
3일 전,D,"394,000",아이폰 13 128GB,개봉,후면,테두리,없음,없음,배터리성능저하
3일 전,B,"207,000",갤럭시S21 256GB,개봉,"전면, 후면, 테두리","전면, 테두리",LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,A,"279,000",아이폰 11 프로 64GB,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음
3일 전,C,"270,000",갤럭시 S20 울트라 256GB,개봉,"전면, 후면","전면, 테두리",LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,C,"790,000",아이폰 14 프로맥스 128GB,개봉,"전면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,D,"105,000",아이폰 SE3 (2022) 64GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"267,000",아이폰 11 프로 256GB,개봉,전면,전면,없음,없음,없음
3일 전,E,"5,000",갤럭시 S8 64GB,개봉,"전면, 테두리",전면,없음,없음,배터리성능저하
3일 전,D,"292,000",아이폰 12 프로 128GB,개봉,"후면, 테두리","후면, 테두리",없음,없음,없음
3일 전,E,"52,000",갤럭시 Z폴드2 256GB,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,D,"166,000",아이폰 11 64GB,개봉,테두리,없음,없음,없음,없음
3일 전,C,"130,000",갤럭시 S10 5G 256GB,개봉,테두리,없음,없음,없음,없음
3일 전,D,"108,000",아이폰 XS 64GB,개봉,테두리,없음,없음,없음,배터리성능저하
3일 전,C,"70,000",갤럭시 A31 64GB,개봉,없음,없음,없음,없음,없음
3일 전,C,"70,000",갤럭시 A31 64GB,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하
3일 전,D,"419,000",아이폰 12 프로 맥스 128GB,개봉,없음,없음,없음,없음,없음
3일 전,B,"297,000",아이폰 12 128GB,개봉,없음,전면,없음,없음,터치
3일 전,D,"419,000",아이폰 12 프로 맥스 128GB,개봉,없음,전면,없음,없음,터치
3일 전,A,"520,000",갤럭시 Z폴드3 256GB,개봉,없음,"전면, 테두리",없음,없음,배터리성능저하
3일 전,D,"168,000",아이폰 11 128GB,개봉,"후면, 테두리",없음,없음,없음,없음
3일 전,A,"217,000",갤럭시 S10 5G 512GB,개봉,없음,없음,없음,없음,없음
3일 전,E,"172,000",아이폰 11 프로 512GB,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,없음
3일 전,D,"349,000",아이폰 12 프로 512GB,개봉,테두리,후면,없음,없음,없음
3일 전,D,"212,000",아이폰 12 128GB,개봉,"전면, 테두리",전면,없음,없음,터치
3일 전,D,"349,000",아이폰 12 프로 512GB,개봉,테두리,"전면, 후면",없음,없음,없음
3일 전,D,"212,000",아이폰 12 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하
3일 전,C,"12,000",갤럭시 A8 (2018) 32GB,개봉,없음,없음,없음,없음,없음
3일 전,B,"80,000",갤럭시 A32 64GB,개봉,없음,없음,없음,잔상있음,없음
3일 전,A,"274,000",갤럭시S21 256GB,개봉,없음,없음,없음,잔상있음,없음
3일 전,D,"680,000",아이폰 14 프로 256GB,개봉,없음,전면,없음,없음,없음
3일 전,C,"128,000",아이폰 XR 64GB,개봉,없음,전면,없음,없음,없음
3일 전,E,"77,000",아이폰 XS 256GB,개봉,전면,"전면, 후면",LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,C,"265,000",갤럭시 S22 256GB,개봉,없음,후면,LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"329,000",아이폰 11 프로 맥스 256GB,개봉,없음,후면,LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,E,"137,000",갤럭시 노트 10 플러스 512GB,개봉,전면,전면,없음,잔상있음,없음
3일 전,C,"490,000",갤럭시 S22 울트라 256GB,개봉,"후면, 테두리",후면,없음,없음,없음
3일 전,D,"302,000",아이폰 12 프로 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,터치
3일 전,E,"34,000",갤럭시 노트 10 플러스 512GB,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하
3일 전,E,"187,000",아이폰 13 프로 256GB,개봉,없음,"전면, 테두리",없음,없음,펜분실
3일 전,E,"137,000",아이폰 XS Max 256GB,개봉,없음,테두리,없음,없음,배터리성능저하
3일 전,C,"108,000",아이폰 X 64GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,E,"112,000",아이폰 11 프로 64GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,없음,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"339,000",아이폰 12 프로 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"터치, 전원","F급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"83,000",갤럭시 노트 8 64GB,개봉,"전면, 후면, 테두리",후면,없음,없음,배터리성능저하
3일 전,D,"83,000",갤럭시 노트 8 64GB,개봉,없음,후면,없음,없음,없음
3일 전,D,"192,000",아이폰 12 미니 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음
3일 전,C,"500,000",아이폰 14 플러스 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음
3일 전,E,"65,000",아이폰 SE2 (2020) 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,잔상있음,배터리성능저하
3일 전,D,"302,000",아이폰 12 프로 128GB,개봉,전면,없음,없음,없음,없음
3일 전,E,"93,000",아이폰 XR 128GB,개봉,전면,없음,없음,없음,없음
3일 전,F,"7,000",갤럭시 S22 플러스 256GB,개봉,"전면, 테두리",전면,LCD 파손,카메라,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"322,000",아이폰 12 프로 128GB,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,C,"168,000",갤럭시S21 플러스 256GB,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,C,"78,000",갤럭시 S8 플러스 64GB,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,C,"215,000",아이폰 11 프로 64GB,개봉,없음,"전면, 테두리",없음,없음,없음
3일 전,E,"37,000",아이폰 XR 64GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"312,000",아이폰 12 프로 128GB,개봉,테두리,"후면, 테두리",없음,없음,배터리성능저하
3일 전,D,"161,000",아이폰 12 미니 128GB,개봉,없음,전면,없음,없음,없음
3일 전,A,"495,000",아이폰 12 프로 256GB,개봉,없음,전면,없음,없음,없음
3일 전,D,"152,000",아이폰 11 128GB,개봉,없음,전면,없음,없음,없음
3일 전,D,"142,000",아이폰 XS 256GB,개봉,테두리,없음,없음,없음,없음
3일 전,B,"497,000",아이폰 13 256GB,개봉,전면,테두리,없음,없음,없음
3일 전,C,"102,000",갤럭시 S9 플러스 64GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"399,000",아이폰 12 프로 맥스 128GB,개봉,없음,전면,없음,없음,없음
3일 전,D,"142,000",아이폰 XS 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음
3일 전,B,"497,000",아이폰 13 256GB,개봉,전면,전면,LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,C,"102,000",갤럭시 S9 플러스 64GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"399,000",아이폰 12 프로 맥스 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"생체인식, 배터리성능저하, 터치","E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"192,000",아이폰 12 미니 128GB,개봉,전면,전면,없음,없음,없음
3일 전,C,"172,000",갤럭시S21 256GB,개봉,테두리,테두리,없음,없음,배터리성능저하
3일 전,D,"826,000",아이폰 14 프로맥스 256GB,개봉,테두리,"전면, 후면, 테두리",없음,없음,"카메라, 배터리성능저하"
3일 전,C,"13,000",갤럭시 S7 엣지 128GB,개봉,테두리,후면,없음,없음,배터리성능저하
3일 전,E,"76,000",갤럭시 S20 울트라 256GB,개봉,없음,없음,LCD 파손,"생체인식, 배터리성능저하","E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"88,000",아이폰 SE2 (2020) 128GB,개봉,없음,테두리,없음,없음,배터리성능저하
3일 전,C,"72,000",갤럭시 A51 128GB,개봉,"전면, 후면, 테두리","후면, 테두리",없음,없음,배터리성능저하
3일 전,D,"71,000",아이폰 SE2 (2020) 64GB,개봉,없음,없음,없음,없음,배터리성능저하
3일 전,D,"317,000",아이폰 13 256GB,개봉,후면,테두리,없음,없음,없음
3일 전,D,"267,000",아이폰 11 프로 256GB,개봉,없음,없음,없음,없음,없음
3일 전,E,"77,000",아이폰 12 128GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"394,000",아이폰 13 128GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"생체인식, 배터리성능저하, 터치","E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"244,000",아이폰 13 미니 128GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"322,000",아이폰 12 프로 128GB,개봉,테두리,테두리,없음,없음,배터리성능저하
3일 전,C,"128,000",아이폰 XR 64GB,개봉,전면,전면,없음,없음,없음
3일 전,A,"440,000",갤럭시 Z폴드2 256GB,개봉,없음,전면,없음,없음,없음
3일 전,A,"440,000",갤럭시 Z폴드2 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음
3일 전,C,"72,000",갤럭시 A51 128GB,개봉,전면,전면,LCD 파손,터치,"E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"71,000",아이폰 SE2 (2020) 64GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"317,000",아이폰 13 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"생체인식, 배터리성능저하, 터치","E급
판매 접수 시 입력한 단말기 상태를 바탕으로 산정한 등급이며, 검수 후 최종 산정된 등급이나 거래금액과는 다를 수 있습니다."
3일 전,D,"267,000",아이폰 11 프로 256GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"192,000",아이폰 12 미니 128GB,개봉,테두리,테두리,없음,없음,배터리성능저하
3일 전,D,"399,000",아이폰 12 프로 맥스 128GB,개봉,테두리,테두리,없음,없음,배터리성능저하
3일 전,C,"172,000",갤럭시S21 256GB,개봉,테두리,"전면, 후면",없음,없음,생체인식
3일 전,D,"826,000",아이폰 14 프로맥스 256GB,개봉,"전면, 테두리",전면,없음,없음,없음
3일 전,C,"13,000",갤럭시 S7 엣지 128GB,개봉,테두리,후면,없음,없음,터치
3일 전,E,"76,000",갤럭시 S20 울트라 256GB,개봉,전면,전면,없음,없음,없음
3일 전,D,"88,000",아이폰 SE2 (2020) 128GB,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,E,"93,000",아이폰 11 128GB,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,카메라
3일 전,C,"72,000",갤럭시 A51 128GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"71,000",아이폰 SE2 (2020) 64GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"생체인식, 배터리성능저하"
3일 전,D,"317,000",아이폰 13 256GB,개봉,테두리,테두리,없음,없음,없음
3일 전,E,"14,000",갤럭시 Z플립3 256GB,개봉,테두리,테두리,없음,없음,배터리성능저하
3일 전,D,"187,000",아이폰 11 128GB,개봉,"후면, 테두리",테두리,없음,없음,배터리성능저하
3일 전,C,"102,000",갤럭시 A52S 128GB,개봉,"전면, 후면, 테두리","전면, 후면",없음,없음,카메라
3일 전,E,"210,000",아이폰 12 프로 256GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"305,000",아이폰 11 프로 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"생체인식, 배터리성능저하"
3일 전,D,"349,000",아이폰 12 프로 256GB,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,"생체인식, 배터리성능저하"
3일 전,D,"92,000",아이폰 SE3 (2022) 128GB,개봉,테두리,테두리,없음,없음,없음
3일 전,A,"495,000",아이폰 12 프로 256GB,개봉,없음,없음,없음,없음,없음
3일 전,D,"115,000",아이폰 XS 256GB,개봉,없음,후면,없음,없음,없음
